Ticker,Start,End,Window,Benchmark Total Log Return,ADF p-value,Hurst,Half-life,Volatility,CapSize,Total Log Return,Annualized Log Return,Sharpe Ratio,Max Drawdown,Annualized Volatility
AAPL,2010-01-01,2019-12-31,1,2.3921429082309382,0.8367,0.7072,1680.1379,0.0162,Large,0.0,0.0,,0.0,0.0
AAPL,2010-01-01,2019-12-31,2,2.3921429082309382,0.8367,0.7072,1680.1379,0.0162,Large,0.0,0.0,,0.0,0.0
AAPL,2010-01-01,2019-12-31,3,2.3921429082309382,0.8367,0.7072,1680.1379,0.0162,Large,0.0,0.0,,0.0,0.0
AAPL,2010-01-01,2019-12-31,5,2.3921429082309382,0.8367,0.7072,1680.1379,0.0162,Large,-0.8573825602601793,-0.08590870981533408,-0.7991810100560632,0.6682058951180081,0.10749593488126989
AAPL,2010-01-01,2019-12-31,8,2.3921429082309382,0.8367,0.7072,1680.1379,0.0162,Large,-1.296721199819415,-0.129929917437174,-0.9827566971404126,0.7732025570465607,0.13220964844629302
AAPL,2010-01-01,2019-12-31,13,2.3921429082309382,0.8367,0.7072,1680.1379,0.0162,Large,-1.4195425085207911,-0.14223646606252063,-1.054509684320669,0.776604146851253,0.1348839827432704
AAPL,2010-01-01,2019-12-31,21,2.3921429082309382,0.8367,0.7072,1680.1379,0.0162,Large,-1.1928246236435887,-0.11951960443665383,-0.8659759759519454,0.7060907833117074,0.13801722883278483
AAPL,2010-01-01,2019-12-31,34,2.3921429082309382,0.8367,0.7072,1680.1379,0.0162,Large,-1.3591636506504385,-0.13618657652640578,-0.9728502814998261,0.743124475182978,0.13998718930979734
AAPL,2010-01-01,2019-12-31,55,2.3921429082309382,0.8367,0.7072,1680.1379,0.0162,Large,-1.1248794186245474,-0.11271157594170417,-0.7843970018574039,0.677417125420305,0.1436920024870188
AAPL,2010-01-01,2019-12-31,89,2.3921429082309382,0.8367,0.7072,1680.1379,0.0162,Large,-1.2365841906771498,-0.12390426085512594,-0.8454083446092059,0.7225039486426019,0.1465614358377327
AAPL,2010-01-01,2019-12-31,144,2.3921429082309382,0.8367,0.7072,1680.1379,0.0162,Large,-1.1735341898638154,-0.11758672598237833,-0.7340912348265715,0.6917618620875323,0.160179989085632
MSFT,2010-01-01,2019-12-31,1,1.865024241963616,0.9975,0.6558,-1536.6212,0.0143,Large,0.0,0.0,,0.0,0.0
MSFT,2010-01-01,2019-12-31,2,1.865024241963616,0.9975,0.6558,-1536.6212,0.0143,Large,0.0,0.0,,0.0,0.0
MSFT,2010-01-01,2019-12-31,3,1.865024241963616,0.9975,0.6558,-1536.6212,0.0143,Large,0.0,0.0,,0.0,0.0
MSFT,2010-01-01,2019-12-31,5,1.865024241963616,0.9975,0.6558,-1536.6212,0.0143,Large,-0.48571718595642255,-0.048668282648516296,-0.5219058911260323,0.4962571216458468,0.0932510697350294
MSFT,2010-01-01,2019-12-31,8,1.865024241963616,0.9975,0.6558,-1536.6212,0.0143,Large,-0.2316057420974944,-0.023206619088894074,-0.21637317437089038,0.40226219577450695,0.10725275513643415
MSFT,2010-01-01,2019-12-31,13,1.865024241963616,0.9975,0.6558,-1536.6212,0.0143,Large,-0.40233974227149866,-0.040313962247482175,-0.33706613387159845,0.4815058901711561,0.11960252958204139
MSFT,2010-01-01,2019-12-31,21,1.865024241963616,0.9975,0.6558,-1536.6212,0.0143,Large,0.09032243150588679,0.009050199896414899,0.07492454187162922,0.23359353847757824,0.12079086064911702
MSFT,2010-01-01,2019-12-31,34,1.865024241963616,0.9975,0.6558,-1536.6212,0.0143,Large,0.022241057430859065,0.002228527424483692,0.01749691349545576,0.2399744292513627,0.12736688816930355
MSFT,2010-01-01,2019-12-31,55,1.865024241963616,0.9975,0.6558,-1536.6212,0.0143,Large,0.04402723690617638,0.004411476620420059,0.03591141827890486,0.27312310568627096,0.12284328583623376
MSFT,2010-01-01,2019-12-31,89,1.865024241963616,0.9975,0.6558,-1536.6212,0.0143,Large,-0.5600298931550493,-0.05611432726643038,-0.4449712322455366,0.43373092713603845,0.1261077642778181
MSFT,2010-01-01,2019-12-31,144,1.865024241963616,0.9975,0.6558,-1536.6212,0.0143,Large,-0.4780318819761641,-0.047898224357055014,-0.41945390714420494,0.4321427851976867,0.11419186599825373
JPM,2010-01-01,2019-12-31,1,1.4126084520870148,0.9683,0.6015,-824389.1791,0.0158,Large,0.0,0.0,,0.0,0.0
JPM,2010-01-01,2019-12-31,2,1.4126084520870148,0.9683,0.6015,-824389.1791,0.0158,Large,0.0,0.0,,0.0,0.0
JPM,2010-01-01,2019-12-31,3,1.4126084520870148,0.9683,0.6015,-824389.1791,0.0158,Large,0.0,0.0,,0.0,0.0
JPM,2010-01-01,2019-12-31,5,1.4126084520870148,0.9683,0.6015,-824389.1791,0.0158,Large,-0.5862530516746915,-0.05874185646998898,-0.6181925944022103,0.5555717305876094,0.09502193491462335
JPM,2010-01-01,2019-12-31,8,1.4126084520870148,0.9683,0.6015,-824389.1791,0.0158,Large,-0.2858337273226141,-0.02864019852298161,-0.2306020085788643,0.4045276644351793,0.12419752412168111
JPM,2010-01-01,2019-12-31,13,1.4126084520870148,0.9683,0.6015,-824389.1791,0.0158,Large,-0.41457635569373497,-0.041540056316032296,-0.2964355005511011,0.6258191181687833,0.14013185410925977
JPM,2010-01-01,2019-12-31,21,1.4126084520870148,0.9683,0.6015,-824389.1791,0.0158,Large,-0.18510009621515922,-0.018546808845415555,-0.13038959462405397,0.48188612178476986,0.14224147945923657
JPM,2010-01-01,2019-12-31,34,1.4126084520870148,0.9683,0.6015,-824389.1791,0.0158,Large,-0.22236346969847964,-0.022280554419092196,-0.1493842068982828,0.48591052454416506,0.14914933031885524
