Ticker,Start,End,Window,Benchmark Total Log Return,ADF p-value,Hurst,Half-life,Volatility,CapSize,Total Log Return,Annualized Log Return,Sharpe Ratio,Max Drawdown,Annualized Volatility
AAPL,2010-01-01,2014-12-31,1,1.355496643154385,0.547,0.6932,463.1836,0.0168,Large,0.0,0.0,,0.0,0.0
AAPL,2010-01-01,2014-12-31,2,1.355496643154385,0.547,0.6932,463.1836,0.0168,Large,0.0,0.0,,0.0,0.0
AAPL,2010-01-01,2014-12-31,3,1.355496643154385,0.547,0.6932,463.1836,0.0168,Large,0.0,0.0,,0.0,0.0
AAPL,2010-01-01,2014-12-31,5,1.355496643154385,0.547,0.6932,463.1836,0.0168,Large,-0.5226966014327563,-0.10478881747100603,-0.8867171022592534,0.4534341312225588,0.11817615472174402
AAPL,2010-01-01,2014-12-31,8,1.355496643154385,0.547,0.6932,463.1836,0.0168,Large,-0.8298363011904382,-0.16636336348447925,-1.229203671295962,0.6241169875338942,0.13534239066263173
AAPL,2010-01-01,2014-12-31,13,1.355496643154385,0.547,0.6932,463.1836,0.0168,Large,-0.8246560464773212,-0.16532483986657512,-1.1670696137158736,0.5826440334586189,0.1416580792813135
AAPL,2010-01-01,2014-12-31,21,1.355496643154385,0.547,0.6932,463.1836,0.0168,Large,-0.6711831121683955,-0.1345569962342368,-0.9520653384799117,0.5163798626939284,0.14133168260181958
AAPL,2010-01-01,2014-12-31,34,1.355496643154385,0.547,0.6932,463.1836,0.0168,Large,-0.7411800206301389,-0.14858978933873906,-1.1286211933918766,0.5490393188260101,0.13165603322774583
AAPL,2010-01-01,2014-12-31,55,1.355496643154385,0.547,0.6932,463.1836,0.0168,Large,-0.5078551494034642,-0.1018134428398353,-0.726227888491371,0.4249750211445197,0.1401948953672619
AAPL,2010-01-01,2014-12-31,89,1.355496643154385,0.547,0.6932,463.1836,0.0168,Large,-0.5718083263226259,-0.11463460479976272,-0.8397040418773751,0.4899424728858143,0.13651786710882977
AAPL,2010-01-01,2014-12-31,144,1.355496643154385,0.547,0.6932,463.1836,0.0168,Large,-0.5816675391693492,-0.11661115343729196,-0.7123782387163914,0.48163047110472446,0.16369275070418965
MSFT,2010-01-01,2014-12-31,1,0.5477466142000533,0.9541,0.5542,7709.4869,0.014,Large,0.0,0.0,,0.0,0.0
MSFT,2010-01-01,2014-12-31,2,0.5477466142000533,0.9541,0.5542,7709.4869,0.014,Large,0.0,0.0,,0.0,0.0
MSFT,2010-01-01,2014-12-31,3,0.5477466142000533,0.9541,0.5542,7709.4869,0.014,Large,0.0,0.0,,0.0,0.0
MSFT,2010-01-01,2014-12-31,5,0.5477466142000533,0.9541,0.5542,7709.4869,0.014,Large,-0.5036090286331043,-0.10096219189780611,-1.1646829910525462,0.443347083682021,0.08668641396279399
