Ticker,Start,End,Window,Benchmark Total Log Return,ADF p-value,Hurst,Half-life,Volatility,CapSize,Total Log Return,Annualized Log Return,Sharpe Ratio,Max Drawdown,Annualized Volatility
AAPL,2015-01-01,2024-12-31,1,2.3358067970144436,0.927,0.676,6118.0917,0.0179,Large,0.0,0.0,,0.0,0.0
AAPL,2015-01-01,2024-12-31,2,2.3358067970144436,0.927,0.676,6118.0917,0.0179,Large,0.0,0.0,,0.0,0.0
AAPL,2015-01-01,2024-12-31,3,2.3358067970144436,0.927,0.676,6118.0917,0.0179,Large,0.0,0.0,,0.0,0.0
AAPL,2015-01-01,2024-12-31,5,2.3358067970144436,0.927,0.676,6118.0917,0.0179,Large,-0.6903178053368417,-0.06916902065402947,-0.6421369655128085,0.5198343329226792,0.10771692702473733
AAPL,2015-01-01,2024-12-31,8,2.3358067970144436,0.927,0.676,6118.0917,0.0179,Large,-0.5548949133060556,-0.05559980841078569,-0.41599114776178214,0.4764492044156631,0.13365622972973693
AAPL,2015-01-01,2024-12-31,13,2.3358067970144436,0.927,0.676,6118.0917,0.0179,Large,-0.665984025352194,-0.06673080492594549,-0.4455637403194372,0.5188350292741046,0.1497671351760004
AAPL,2015-01-01,2024-12-31,21,2.3358067970144436,0.927,0.676,6118.0917,0.0179,Large,-0.2518616629814683,-0.02523623819933599,-0.15881295841136908,0.5164053816410433,0.158905409557117
AAPL,2015-01-01,2024-12-31,34,2.3358067970144436,0.927,0.676,6118.0917,0.0179,Large,-0.7540909900960606,-0.07555901769550985,-0.43950792776702824,0.6061978283019283,0.17191730324273405
AAPL,2015-01-01,2024-12-31,55,2.3358067970144436,0.927,0.676,6118.0917,0.0179,Large,-0.47505072088784395,-0.047599515572062295,-0.27687780790400607,0.5424990153718157,0.17191524280113166
AAPL,2015-01-01,2024-12-31,89,2.3358067970144436,0.927,0.676,6118.0917,0.0179,Large,-0.8123050237472026,-0.0813919944271551,-0.48036263042950905,0.5746170069726515,0.16943864753671548
AAPL,2015-01-01,2024-12-31,144,2.3358067970144436,0.927,0.676,6118.0917,0.0179,Large,-0.9569684147911285,-0.09588709364905144,-0.5978777250726299,0.6997324459693103,0.16037910366606
MSFT,2015-01-01,2024-12-31,1,2.35700482666462,0.8357,0.7139,2171.7821,0.0171,Large,0.0,0.0,,0.0,0.0
MSFT,2015-01-01,2024-12-31,2,2.35700482666462,0.8357,0.7139,2171.7821,0.0171,Large,0.0,0.0,,0.0,0.0
MSFT,2015-01-01,2024-12-31,3,2.35700482666462,0.8357,0.7139,2171.7821,0.0171,Large,0.0,0.0,,0.0,0.0
MSFT,2015-01-01,2024-12-31,5,2.35700482666462,0.8357,0.7139,2171.7821,0.0171,Large,0.11381459712227332,0.011404086868712873,0.1015993384500728,0.3242363074315565,0.11224568036254474
MSFT,2015-01-01,2024-12-31,8,2.35700482666462,0.8357,0.7139,2171.7821,0.0171,Large,0.4819662617647661,0.04829244451877577,0.3622007244086249,0.22730012914190534,0.133330612735864
MSFT,2015-01-01,2024-12-31,13,2.35700482666462,0.8357,0.7139,2171.7821,0.0171,Large,0.24841814635403936,0.024891201940842118,0.1679936130599567,0.3650609321306122,0.14816754927437914
MSFT,2015-01-01,2024-12-31,21,2.35700482666462,0.8357,0.7139,2171.7821,0.0171,Large,0.7738352109653701,0.07753736507486016,0.5049729146010711,0.19685558644431855,0.15354757222199675
MSFT,2015-01-01,2024-12-31,34,2.35700482666462,0.8357,0.7139,2171.7821,0.0171,Large,0.24872612585117262,0.0249220611190837,0.16093676265695817,0.22087385610780774,0.15485623488155945
MSFT,2015-01-01,2024-12-31,55,2.35700482666462,0.8357,0.7139,2171.7821,0.0171,Large,0.647850771854992,0.0649138745556493,0.4353475447441718,0.2975418479202945,0.14910816734660895
MSFT,2015-01-01,2024-12-31,89,2.35700482666462,0.8357,0.7139,2171.7821,0.0171,Large,-0.0205830122383166,-0.002062393273978443,-0.013638714833996897,0.3907983629053706,0.15121610056964932
MSFT,2015-01-01,2024-12-31,144,2.35700482666462,0.8357,0.7139,2171.7821,0.0171,Large,-0.4477601374366811,-0.04486503166363564,-0.3152474401065165,0.516432658828927,0.14231687860328554
JPM,2015-01-01,2024-12-31,1,1.6106611568991565,0.8745,0.5889,1497.4316,0.0172,Large,0.0,0.0,,0.0,0.0
JPM,2015-01-01,2024-12-31,2,1.6106611568991565,0.8745,0.5889,1497.4316,0.0172,Large,0.0,0.0,,0.0,0.0
JPM,2015-01-01,2024-12-31,3,1.6106611568991565,0.8745,0.5889,1497.4316,0.0172,Large,0.0,0.0,,0.0,0.0
JPM,2015-01-01,2024-12-31,5,1.6106611568991565,0.8745,0.5889,1497.4316,0.0172,Large,-0.7231285303169377,-0.07245661615899336,-0.6863926372923654,0.5692744918760487,0.10556147053793474
JPM,2015-01-01,2024-12-31,8,1.6106611568991565,0.8745,0.5889,1497.4316,0.0172,Large,-0.7908958328874165,-0.07924681904080674,-0.5929087799211371,0.6386639957127469,0.13365769191568957
JPM,2015-01-01,2024-12-31,13,1.6106611568991565,0.8745,0.5889,1497.4316,0.0172,Large,-0.5442109452529791,-0.05452928755616331,-0.3692107897917341,0.5299787729714851,0.14769147886204087
JPM,2015-01-01,2024-12-31,21,1.6106611568991565,0.8745,0.5889,1497.4316,0.0172,Large,-0.6211016560006508,-0.06223364505453838,-0.3955241069973391,0.5056607999027265,0.15734475839409975
