Ticker,Start,End,Window,Benchmark Total Log Return,ADF p-value,Hurst,Half-life,Volatility,CapSize,Total Log Return,Annualized Log Return,Sharpe Ratio,Max Drawdown,Annualized Volatility
AAPL,2015-01-01,2019-12-31,1,1.063405774248573,0.9609,0.608,-1974.8243,0.0157,Large,0.0,0.0,,0.0,0.0
AAPL,2015-01-01,2019-12-31,2,1.063405774248573,0.9609,0.608,-1974.8243,0.0157,Large,0.0,0.0,,0.0,0.0
AAPL,2015-01-01,2019-12-31,3,1.063405774248573,0.9609,0.608,-1974.8243,0.0157,Large,0.0,0.0,,0.0,0.0
AAPL,2015-01-01,2019-12-31,5,1.063405774248573,0.9609,0.608,-1974.8243,0.0157,Large,-0.33468061308015673,-0.06709587469864717,-0.7010219075480455,0.429276809491529,0.09571152338637672
AAPL,2015-01-01,2019-12-31,8,1.063405774248573,0.9609,0.608,-1974.8243,0.0157,Large,-0.426847410725955,-0.08557322792596711,-0.6666364058092682,0.42209431805463726,0.12836566857173792
AAPL,2015-01-01,2019-12-31,13,1.063405774248573,0.9609,0.608,-1974.8243,0.0157,Large,-0.6069004229104139,-0.1216697745214195,-0.9528912388402745,0.48347000858448586,0.12768484960518567
AAPL,2015-01-01,2019-12-31,21,1.063405774248573,0.9609,0.608,-1974.8243,0.0157,Large,-0.5287037642358815,-0.10599311741244402,-0.7963491185937862,0.4549420355328765,0.13309880671383098
AAPL,2015-01-01,2019-12-31,34,1.063405774248573,0.9609,0.608,-1974.8243,0.0157,Large,-0.5256343093720489,-0.10537776130609094,-0.7243546346836984,0.4745574893130414,0.14547813496369208
AAPL,2015-01-01,2019-12-31,55,1.063405774248573,0.9609,0.608,-1974.8243,0.0157,Large,-0.5670314559531912,-0.11367695059682113,-0.787193744655289,0.4990129871548845,0.1444078428832029
AAPL,2015-01-01,2019-12-31,89,1.063405774248573,0.9609,0.608,-1974.8243,0.0157,Large,-0.6357187466912321,-0.12744719504072433,-0.8308785346675277,0.4787347257832685,0.15338847945051529
AAPL,2015-01-01,2019-12-31,144,1.063405774248573,0.9609,0.608,-1974.8243,0.0157,Large,-0.5820945843014708,-0.11669676630387481,-0.7618188905170908,0.481514585107245,0.15318177030851246
MSFT,2015-01-01,2019-12-31,1,1.3208228800304542,0.9865,0.6933,-4634.8657,0.0147,Large,0.0,0.0,,0.0,0.0
MSFT,2015-01-01,2019-12-31,2,1.3208228800304542,0.9865,0.6933,-4634.8657,0.0147,Large,0.0,0.0,,0.0,0.0
MSFT,2015-01-01,2019-12-31,3,1.3208228800304542,0.9865,0.6933,-4634.8657,0.0147,Large,0.0,0.0,,0.0,0.0
MSFT,2015-01-01,2019-12-31,5,1.3208228800304542,0.9865,0.6933,-4634.8657,0.0147,Large,0.00726262950450543,0.0014559925498292508,0.01467648253263785,0.1752782575848607,0.09920582446041727
MSFT,2015-01-01,2019-12-31,8,1.3208228800304542,0.9865,0.6933,-4634.8657,0.0147,Large,0.007649270286001458,0.0015335052602007697,0.014368798885782314,0.2273014192311864,0.10672466588130393
MSFT,2015-01-01,2019-12-31,13,1.3208228800304542,0.9865,0.6933,-4634.8657,0.0147,Large,-0.1997394910087037,-0.04004323924756828,-0.3091064745144626,0.3650622710378826,0.12954513266170592
MSFT,2015-01-01,2019-12-31,21,1.3208228800304542,0.9865,0.6933,-4634.8657,0.0147,Large,0.0712787161527865,0.01428976648409085,0.11535751829776204,0.18788908155679218,0.12387373354553237
MSFT,2015-01-01,2019-12-31,34,1.3208228800304542,0.9865,0.6933,-4634.8657,0.0147,Large,0.10606193095549013,0.021263012411124514,0.15896425787683544,0.17946384292493633,0.13375970608184748
MSFT,2015-01-01,2019-12-31,55,1.3208228800304542,0.9865,0.6933,-4634.8657,0.0147,Large,0.2385403078117031,0.04782192328444645,0.37961059450139095,0.1775028361025328,0.12597626087664743
