Ticker,Start,End,Window,Benchmark Total Log Return,ADF p-value,Hurst,Half-life,Volatility,CapSize,Total Log Return,Annualized Log Return,Sharpe Ratio,Max Drawdown,Annualized Volatility
AAPL,2020-01-01,2024-12-31,1,1.2405613254809322,0.5663,0.6148,242.4402,0.0199,Large,0.0,0.0,,0.0,0.0
AAPL,2020-01-01,2024-12-31,2,1.2405613254809322,0.5663,0.6148,242.4402,0.0199,Large,0.0,0.0,,0.0,0.0
AAPL,2020-01-01,2024-12-31,3,1.2405613254809322,0.5663,0.6148,242.4402,0.0199,Large,0.0,0.0,,0.0,0.0
AAPL,2020-01-01,2024-12-31,5,1.2405613254809322,0.5663,0.6148,242.4402,0.0199,Large,-0.36340989243554145,-0.07285544382955962,-0.6147086934020215,0.3679132661717217,0.11852027572011564
AAPL,2020-01-01,2024-12-31,8,1.2405613254809322,0.5663,0.6148,242.4402,0.0199,Large,-0.13156351719920187,-0.026375502254732595,-0.19008439762071275,0.3978778985854573,0.13875679742722113
AAPL,2020-01-01,2024-12-31,13,1.2405613254809322,0.5663,0.6148,242.4402,0.0199,Large,-0.026210301724312463,-0.005254571228740446,-0.03123077975711799,0.2902330581142699,0.16824976096035021
AAPL,2020-01-01,2024-12-31,21,1.2405613254809322,0.5663,0.6148,242.4402,0.0199,Large,0.32540986053297516,0.06523729900899741,0.3625132952710947,0.16993431233287004,0.17995836252077776
AAPL,2020-01-01,2024-12-31,34,1.2405613254809322,0.5663,0.6148,242.4402,0.0199,Large,-0.14502105375019414,-0.029073433210062786,-0.1501202310365706,0.3059176604704359,0.19366765564716085
AAPL,2020-01-01,2024-12-31,55,1.2405613254809322,0.5663,0.6148,242.4402,0.0199,Large,0.020838769459113338,0.004177700798485728,0.02477636842763315,0.25426674381295344,0.16861634951417365
AAPL,2020-01-01,2024-12-31,89,1.2405613254809322,0.5663,0.6148,242.4402,0.0199,Large,-0.4225521374744129,-0.08471212302589662,-0.5395917836290012,0.3762676089021332,0.15699298172438597
AAPL,2020-01-01,2024-12-31,144,1.2405613254809322,0.5663,0.6148,242.4402,0.0199,Large,-0.1763224578240875,-0.03534865502917268,-0.23038171510006922,0.29367889481514653,0.1534351587486817
MSFT,2020-01-01,2024-12-31,1,1.0151376228207318,0.5325,0.5997,229.4836,0.0192,Large,0.0,0.0,,0.0,0.0
MSFT,2020-01-01,2024-12-31,2,1.0151376228207318,0.5325,0.5997,229.4836,0.0192,Large,0.0,0.0,,0.0,0.0
