Stock1,Stock2,Sharpe Ratio,Total Return,Max Drawdown,Beta
MSFT,NTNX,0.561594511113929,1.4239299832751504,-0.4027954331972735,0.5559724055974707
FIZZ,EVTC,0.2396228489089288,0.8389258085189166,-0.6261030904571888,1.0517602148354839
NVDA,HWM,0.7110816679444367,10.581099340678975,-0.7161342963849135,1.4927588506666714
PG,LLY,1.0851886350066668,1.7994939623523267,-0.20410391116702253,0.19484547221978532
CHDN,ROK,0.5476927562136569,2.144838134304449,-0.442855967226631,1.2208124179847117
NVDA,STRL,0.6085324856661487,5.470291962069077,-0.631781391330434,1.0197813406213003
AVGO,HWM,0.15300547777078227,0.43535519354537655,-0.5754029431416544,1.0497014600281664
HWM,STRL,0.2841565364119034,0.7604576019653739,-0.45068042409105435,0.6151796342206322
AAPL,JPM,1.2030303045484927,6.2676984683566985,-0.33247665804470006,0.9179344555725215
JNJ,CHDN,0.7183205052423902,1.013435245590025,-0.21824334116617838,0.22872360093496594
