AAPL,MSFT,JPM,NVDA,XOM,JNJ,UNH,PG,V,MA,HD,COST,AVGO,LLY,BAC,MRK,ADBE,TFX,HES,WU,FIVE,GNRC,CHDN,CROX,ENPH,FICO,ROK,LII,INSM,NEOG,ACLS,PRDO,IMMR,CVCO,GPRO,STRL,TPC,GHC,FIZZ,EVTC,CMTL,MGEE
3.1913165336545157,3.6906814184677326,3.85384814500557,-0.7275333408561437,4.086148375856432,4.365406936206406,4.45658428576233,4.217475662043999,4.121843826989055,4.386018082218865,4.39909913328334,4.741491262923995,2.0288902568102882,4.057089272721693,2.670104071033955,3.6859339888953557,4.281377175900376,4.678783176780749,4.13576891435108,2.384967022580069,3.6868774055751588,3.836652675368751,2.6964681514598325,2.524928305812279,2.6539459447935254,4.277250338754796,4.504524102114025,4.428647517954839,2.770085594411824,2.9067411216075443,2.3223877015907286,1.8755857920418888,2.1375846558485208,4.353498551059343,4.202750477139343,1.8578592471279152,3.174296775088473,6.144785131350263,2.1472917355654375,2.9850576738286008,3.1988092696186614,3.600050804380884
3.1627406981828665,3.6814428707478295,3.822311313949389,-0.7445679240734936,4.058405202698683,4.358397994819411,4.439975596865954,4.212709974922035,4.099523250508161,4.357486917765891,4.377895761754402,4.730056702693431,2.012775591321963,4.047191869682735,2.640623602347674,3.7006871950595546,4.276388349287916,4.656558232966551,4.086135555468528,2.3754403789648872,3.7000666623657974,3.8282065093793225,2.692395749901704,2.5344901227505985,2.630448963323681,4.265963287070413,4.470355272597962,4.426317885122293,2.7600099521047476,2.8997466929120748,2.302585092994046,1.848718412788235,2.1234310074433393,4.339510473688519,4.192529431015651,1.814824720414034,3.1505970004519392,6.157572285924387,2.142815470142843,2.9722374996914653,3.216997459671483,3.5832995693036835
3.1628347890277273,3.6666568305987544,3.796040239639993,-0.7753553781481473,4.053074810100154,4.3534719582180665,4.437955621474291,4.208143797784643,4.093058755152455,4.355323131950518,4.3748295482788215,4.743184598798407,1.9897695399988833,4.0522247685908885,2.610247777408029,3.7392187289256342,4.256038133912515,4.642548097276934,4.070565143002086,2.37374949923822,3.6968476161942694,3.8242840744620725,2.6744085412309304,2.4915511861909447,2.560323256644879,4.247435175459569,4.4588269687750115,4.421216591357483,2.731115498884654,2.8972663130807637,2.2617631382102195,1.825764073349015,2.071675976779589,4.324529912163525,4.172076887233094,1.8131947686171113,3.1276373310607575,6.123798256625077,2.124250329344968,2.959716791081098,3.1981764607848775,3.5748172692710893
3.1767594927898886,3.6792817317566406,3.7975650572554964,-0.7779643944433096,4.063155917901495,4.375308082182255,4.448114123340599,4.213375665831277,4.106367887889493,4.3707587658308125,4.408529681680983,4.760447419561639,2.0164243084754743,4.045171930130487,2.614981363407272,3.760379086545905,4.264227982478629,4.650385518579849,4.0682584986974355,2.3641150486393423,3.7469124709660657,3.8084387297894695,2.6975372037167364,2.4595888255015854,2.4336133219381924,4.253696817496795,4.460522636889735,4.42981048416613,2.768831647037307,2.8893709588697467,2.274185645944447,1.8365416599055606,2.036419495633061,4.35901386426831,4.134366248788392,1.8099267950352884,3.1415626953890583,6.123739170791189,2.119669373208985,2.9545706139563688,3.2057472661168918,3.58928283317692
3.214462336925409,3.7082756400677517,3.8196653032841037,-0.7410369630795199,4.0796639117555,4.38314019214242,4.494743401812866,4.224746795279743,4.119691351948892,4.386193318868335,4.430412631747015,4.769002480701931,2.0651903916526986,4.0685845428449525,2.6354323224937004,3.7803055010324425,4.2893629247000025,4.65557647516433,4.097831276956045,2.383850924604547,3.775745011616729,3.823628864666942,2.710697970841981,2.4697929861593577,2.4621496236403475,4.284842255501802,4.4895529342023925,4.447817439823531,2.7769541607590176,2.9104244409906426,2.294552928987703,1.844169488517141,2.060061424429358,4.368054469370256,4.095843440885159,1.814824720414034,3.199489129737002,6.157159617815659,2.15795378866974,2.971776265138198,3.207631199746205,3.6024523180434325
3.2155340657651994,3.6998348301622284,3.802125353657649,-0.737017027062415,4.078253316199757,4.369417334423225,4.485339500211644,4.215372787703885,4.1047570570669745,4.373367752599801,4.413116365382935,4.7534940955806295,2.0758282252428635,4.0552323942029735,2.617339710658246,3.775680833813064,4.274441373018033,4.652178571675311,4.094182170090272,2.384967022580069,3.560477747984107,3.811539493844585,2.706259696822978,2.414126495023534,2.444952311121487,4.272528159668876,4.472217065027366,4.443032832922497,2.7440606508911505,2.9059208068739792,2.3105532550743786,1.8006844586959019,2.055377664704306,4.369194698362093,4.108247469899111,1.8000583035691733,3.1709452879090585,6.155793593489295,2.138319077640204,2.9639075737374583,3.2022844011856364,3.5830769717032567
3.1905844746850764,3.6872535488480453,3.793493956404518,-0.7496337181847887,4.058848182586714,4.365980614360785,4.473994763095911,4.211709419633836,4.102797706495891,4.360495218961902,4.4086253364028005,4.747896625848871,2.059101814576358,4.047912274721017,2.5995139282081308,3.771516397277917,4.264368629824631,4.645077235706789,4.055625366151057,2.3788128783485134,3.5389282862140914,3.799302094373324,2.7014822774575027,2.410542265318056,2.3896797858589216,4.260342014360885,4.458072277096372,4.450304605294352,2.6810215548423537,2.898713940128947,2.282382405139267,1.8273108694099924,2.058892539542635,4.385271391455148,4.039184129546003,1.7950872561523765,3.1722034422503045,6.163973509737765,2.1423668067554535,2.933716710471413,3.2182397125574775,3.577279970507377
3.1994242528882517,3.682090043495804,3.793663670014926,-0.7511584867495714,4.055187898327843,4.36770054751539,4.479052822040868,4.215926705310923,4.105716059792808,4.362771722268453,4.401995748426369,4.737812568906021,2.053463609914606,4.047336085508767,2.58562963005259,3.7697491102329503,4.256888439528794,4.6468796040144165,4.044752312933839,2.377689975163583,3.5025498989025468,3.8066624897703196,2.706153707340679,2.3960753943907034,2.40061880905609,4.277111915358924,4.443628866852454,4.446987186838129,2.6539459447935254,2.8960238649203434,2.2617631382102195,1.8022705072191578,2.0831570598608904,4.344973522966832,3.9094195981400395,1.8033586333516993,3.157851142493167,6.163574908465241,2.1654378133609953,2.9332376623714054,3.2554048776515834,3.5864065178380096
3.195606776242673,3.673424700958382,3.7585540974344522,-0.7470976133488239,4.052295058312551,4.360419502812065,4.4815720307737035,4.212487527489857,4.085496186579676,4.361693635279452,4.391431938510939,4.725116272272879,2.061329034150574,4.0527982812268855,2.5603892894117477,3.7769586303505056,4.2483523441795095,4.6466095436114605,4.067392076364973,2.347462634393814,3.542407528131495,3.8113182810559643,2.7156414898989785,2.4015250373936077,2.380471670468572,4.283190807374807,4.447354605657179,4.452888219538116,2.6775910067264266,2.9018090042404547,2.2617631382102195,1.781452950705443,2.1288985559331137,4.3190868714626,3.9577609000173206,1.7984040056309996,3.1527360060615304,6.158661467310352,2.1535249904790126,2.9055458827896268,3.236519397966567,3.6011431259674347
3.1680910809886114,3.662925465306428,3.725993226689425,-0.7542152064856811,4.043565116055095,4.3457935272379435,4.492448506357268,4.211041713018285,4.075942275402501,4.347089876494138,4.37542376792595,4.725116272272879,2.041104679872652,4.052511532876292,2.5065993925388006,3.7647514952001444,4.252629554212815,4.642005190280841,4.0481442155590965,2.3317047568018636,3.506157808139705,3.807328907204816,2.720142938739376,2.379546151790809,2.3292270685133647,4.272249450864614,4.4466873974660714,4.431076981841972,2.6504210774895927,2.88036100677087,2.2617631382102195,1.7418439204830423,2.0762843116265675,4.265633245137309,3.883211961265559,1.763016987275961,3.1130707557941752,6.164383953713079,2.136514776854801,2.8976330976395634,3.2182098621974826,3.5932517743421286
