Date,BJK,FDN,IGV,IHF,IHI,IPAY,ITA,ITB,KBE,PBI,PJP,PKB,RETL,SMH,SOXX,TAN,WCLD,XAR,XBI,XLE,XLP,XLU,XLY,XOP,XRT
2012-08-02,21.56801986694336,34.41999816894531,11.431449890136719,11.09960651397705,9.649940490722656,,26.640827178955078,15.20534610748291,16.092344284057617,6.817170143127441,27.653799057006836,13.060556411743164,2.6438591480255127,13.628958702087402,14.921160697937012,12.248224258422852,,24.872488021850586,27.55925178527832,43.455081939697266,25.018415451049805,24.34967803955078,37.303592681884766,159.74505615234375,24.13478660583496
2012-08-03,22.27385902404785,35.33000183105469,11.769783020019531,11.205215454101562,9.940898895263672,,27.256174087524414,15.336108207702637,16.52849578857422,7.301851749420166,27.920345306396484,13.359139442443848,2.799983024597168,13.986719131469727,15.254849433898926,12.569487571716309,,24.872488021850586,27.742965698242188,44.47801208496094,25.4382381439209,24.635984420776367,38.04159927368164,164.43299865722656,24.700408935546875
2012-08-06,22.470327377319336,35.790000915527344,11.93506145477295,11.131830215454102,9.967489242553711,,27.247573852539062,15.429500579833984,16.52849578857422,7.380876541137695,27.978654861450195,13.48434829711914,2.820457696914673,13.982460975646973,15.30663776397705,13.171857833862305,,25.432870864868164,27.79452896118164,44.59796905517578,25.424007415771484,24.577423095703125,38.178897857666016,166.82540893554688,24.845979690551758
2012-08-07,22.783227920532227,36.18000030517578,12.102286338806152,11.341253280639648,10.117658615112305,,27.669281005859375,15.691021919250488,16.701446533203125,7.507312774658203,28.003639221191406,13.676983833312988,2.8742053508758545,14.169858932495117,15.660457611083984,13.469030380249023,,25.566499710083008,27.96856689453125,45.26729965209961,25.28881072998047,24.323638916015625,38.5393180847168,170.93142700195312,25.178699493408203
2012-08-08,22.666793823242188,35.689998626708984,12.06145191192627,11.572162628173828,10.106707572937012,,27.70800018310547,15.905838012695312,16.754087448120117,7.542483806610107,27.67045783996582,13.734771728515625,2.8810298442840576,14.229485511779785,15.697860717773438,13.677850723266602,,25.769094467163086,27.601152420043945,45.305171966552734,25.466697692871094,24.35617446899414,38.35051345825195,170.93142700195312,25.18701934814453
2012-08-09,22.630414962768555,35.90999984741211,12.113953590393066,11.561421394348145,10.116093635559082,,27.8629207611084,16.195375442504883,16.724002838134766,7.401808738708496,27.595491409301758,13.83108901977539,2.8622610569000244,14.335962295532227,15.821550369262695,13.854547500610352,,25.924280166625977,27.57858657836914,45.614566802978516,25.359960556030273,24.35617446899414,38.32476806640625,173.16226196289062,25.116315841674805
2012-08-10,22.484880447387695,35.779998779296875,12.158673286437988,11.556052207946777,10.158329010009766,,27.78976058959961,15.99923038482666,16.686412811279297,7.347701549530029,27.762083053588867,13.821457862854004,2.824439525604248,14.438179016113281,15.902095794677734,13.782261848449707,,25.924280166625977,27.485124588012695,45.6966667175293,25.35283851623535,24.42775535583496,38.29044723510742,172.48329162597656,24.995697021484375
2012-08-13,22.361177444458008,35.90999984741211,12.100341796875,11.505932807922363,10.150506019592285,,27.733821868896484,16.036592483520508,16.701446533203125,7.331470966339111,27.712106704711914,13.667350769042969,2.8181827068328857,14.32744312286377,15.764019966125488,13.428873062133789,,25.924280166625977,27.614036560058594,45.52616500854492,25.34572982788086,24.4017276763916,38.307613372802734,170.09083557128906,24.937471389770508
2012-08-14,22.492155075073242,35.63999938964844,12.010894775390625,11.477289199829102,10.122345924377441,,27.652063369750977,16.129989624023438,16.70897102355957,7.282773971557617,27.778745651245117,13.802194595336914,2.889277219772339,14.24226188659668,15.643200874328613,13.428873062133789,,25.924280166625977,27.910560607910156,45.44407653808594,25.44533920288086,24.37569808959961,38.40202713012695,172.35398864746094,24.987380981445312
2012-08-15,22.674074172973633,36.0099983215332,12.139226913452148,11.572162628173828,10.231851577758789,,27.68648910522461,16.111309051513672,16.79168701171875,7.228663921356201,27.8703670501709,13.888879776000977,2.9339234828948975,14.267815589904785,15.732373237609863,13.460997581481934,,25.924280166625977,28.265077590942383,45.43777084350586,25.459583282470703,24.258567810058594,38.52216339111328,173.1945343017578,25.09551429748535
2012-08-16,23.103397369384766,36.43000030517578,12.366727828979492,11.67419147491455,10.216209411621094,,27.953285217285156,16.727750778198242,16.881925582885742,7.277362823486328,27.753753662109375,14.216357231140137,2.993074893951416,14.438179016113281,15.979769706726074,13.80635929107666,,25.924280166625977,27.878320693969727,45.84189987182617,25.52362060546875,24.200010299682617,38.83967208862305,175.3930206298828,25.390810012817383
2012-08-17,23.299869537353516,36.560001373291016,12.43673038482666,11.701041221618652,10.269392013549805,,28.138320922851562,16.830490112304688,16.994722366333008,7.320647716522217,27.653799057006836,14.322305679321289,3.0095691680908203,14.318922996520996,15.864709854125977,14.023209571838379,,26.053598403930664,27.916994094848633,45.82295227050781,25.544967651367188,24.134931564331055,38.98554992675781,174.87570190429688,25.561323165893555
2012-08-20,23.459951400756836,36.439998626708984,12.339508056640625,11.769061088562012,10.288167953491211,,28.241596221923828,16.49424934387207,17.002248764038086,7.401808738708496,27.645463943481445,14.120035171508789,2.9489965438842773,14.284854888916016,15.75826358795166,14.344476699829102,,26.34671974182129,27.910560607910156,45.665103912353516,25.544967651367188,24.180484771728516,38.822509765625,173.7764892578125,25.40744972229004
2012-08-21,23.5327205657959,36.34000015258789,12.360897064208984,11.770846366882324,10.256875991821289,,28.151227951049805,16.33547019958496,17.01728057861328,7.3855767250061035,27.50387191772461,14.129671096801758,2.9862492084503174,14.310405731201172,15.766895294189453,14.481014251708984,,26.247583389282227,27.926668167114258,45.51985168457031,25.388423919677734,24.004798889160156,38.77101516723633,173.12989807128906,25.432405471801758
2012-08-22,23.58365249633789,36.56999969482422,12.378398895263672,11.822755813598633,10.169275283813477,,27.936073303222656,16.709070205688477,16.949602127075195,7.320647716522217,27.520530700683594,14.139305114746094,2.9862492084503174,14.186897277832031,15.651835441589355,14.481014251708984,,26.247583389282227,28.24573516845703,45.690338134765625,25.31015396118164,23.965742111206055,38.88258743286133,173.38853454589844,25.4822998046875
2012-08-23,23.459951400756836,36.38999938964844,12.308398246765137,11.783376693725586,10.122345924377441,,27.639158248901367,16.625003814697266,16.746572494506836,7.3639326095581055,27.45389175415039,14.062250137329102,2.9535465240478516,14.037827491760254,15.562664031982422,14.513141632080078,,26.247583389282227,28.19094467163086,45.18518829345703,25.110918045043945,23.718490600585938,38.61655044555664,169.3472137451172,25.153743743896484
2012-08-24,23.401735305786133,36.5099983215332,12.261728286743164,11.799483299255371,10.173973083496094,,27.73812484741211,16.849170684814453,16.82176399230957,7.3639326095581055,27.803730010986328,14.235617637634277,3.039428949356079,14.080418586730957,15.640324592590332,14.304320335388184,,26.247583389282227,28.500349044799805,45.450408935546875,25.331504821777344,23.829099655151367,38.9340705871582,170.41415405273438,25.24108123779297
2012-08-27,23.24892807006836,36.369998931884766,12.271452903747559,11.881824493408203,10.16458511352539,,27.716615676879883,16.671707153320312,16.91200065612793,7.217845439910889,27.787076950073242,14.110407829284668,3.026062250137329,14.012273788452148,15.579909324645996,14.296282768249512,,25.70012664794922,28.571252822875977,45.46934127807617,25.367076873779297,23.881155014038086,38.87399673461914,171.0607452392578,25.25771141052246
2012-08-28,23.401735305786133,36.63999938964844,12.267562866210938,11.871087074279785,10.194307327270508,,27.781152725219727,16.681049346923828,16.927040100097656,7.223255634307861,27.778745651245117,14.129671096801758,3.0627472400665283,13.99097728729248,15.556897163391113,14.368568420410156,,25.70012664794922,28.66794204711914,45.500911712646484,25.38130760192871,23.835603713989258,38.95122528076172,172.64491271972656,25.378328323364258
2012-08-29,23.430843353271484,36.900001525878906,12.3045072555542,11.978483200073242,10.263136863708496,,27.81558609008789,16.774444580078125,17.0849609375,7.223255634307861,27.88703155517578,14.19709300994873,3.1190547943115234,14.016530990600586,15.574156761169434,14.0874662399292,,25.73029899597168,28.6776123046875,45.19783401489258,25.324382781982422,23.796558380126953,39.140018463134766,171.25473022460938,25.536373138427734
2012-08-30,23.096118927001953,36.439998626708984,12.13339614868164,11.935524940490723,10.205256462097168,,27.583209991455078,16.737083435058594,16.979684829711914,7.207021236419678,27.837039947509766,14.081514358520508,3.089763641357422,13.816356658935547,15.335403442382812,13.171857833862305,,25.73029899597168,28.439115524291992,44.71793746948242,25.22477149963379,23.679431915283203,38.92546844482422,168.24795532226562,25.461511611938477
2012-08-31,23.474504470825195,36.709999084472656,12.246175765991211,11.935524940490723,10.239668846130371,,27.763940811157227,16.9705867767334,16.98720359802246,7.228663921356201,27.88703155517578,14.2548828125,3.110806941986084,14.042086601257324,15.519500732421875,13.420839309692383,,25.73029899597168,28.532581329345703,45.166259765625,25.231884002685547,23.653404235839844,39.08851623535156,170.5111083984375,25.461511611938477
2012-09-04,23.292593002319336,36.75,12.318119049072266,12.005334854125977,10.344474792480469,,27.61333465576172,17.16672134399414,17.100000381469727,7.136683940887451,28.52838706970215,14.216357231140137,3.1435108184814453,13.824874877929688,15.39869213104248,13.163825988769531,,25.743234634399414,29.209392547607422,44.8189811706543,25.38130760192871,23.744504928588867,38.994136810302734,170.317138671875,25.665300369262695
2012-09-05,23.20526695251465,36.79999923706055,12.353119850158691,12.02323055267334,10.286599159240723,,27.669281005859375,17.082670211791992,17.06991958618164,7.223255634307861,28.52838706970215,14.26451587677002,3.10256028175354,13.726916313171387,15.315261840820312,13.035322189331055,,25.657028198242188,29.08369255065918,44.64848709106445,25.3386173248291,23.64038848876953,39.05420684814453,170.83448791503906,25.719369888305664
2012-09-06,23.539995193481445,37.709999084472656,12.701178550720215,12.182538986206055,10.475873947143555,,28.220077514648438,17.51229476928711,17.48351287841797,7.445093154907227,28.84491539001465,14.543834686279297,3.2632339000701904,14.165596961975098,15.781278610229492,13.31643009185791,,25.657028198242188,29.657379150390625,45.589324951171875,25.651702880859375,23.907182693481445,39.92951202392578,175.3607177734375,26.355703353881836
2012-09-07,23.983871459960938,37.970001220703125,12.656451225280762,12.182538986206055,10.530625343322754,,28.36208724975586,17.577678680419922,17.67902374267578,7.558718204498291,28.73664093017578,14.611254692077637,3.24617075920105,14.029308319091797,15.738127708435059,13.501155853271484,,25.657028198242188,29.5187931060791,46.378604888916016,25.44533920288086,23.829099655151367,40.144065856933594,180.04859924316406,26.41808319091797
2012-09-10,23.90382957458496,37.689998626708984,12.623400688171387,12.028602600097656,10.497771263122559,,28.082380294799805,17.437576293945312,17.58126449584961,7.661521911621094,28.719974517822266,14.659414291381836,3.2916715145111084,13.803581237792969,15.464845657348633,13.701946258544922,,26.277755737304688,29.241619110107422,46.17654037475586,25.416885375976562,23.80307388305664,40.08395767211914,178.3674774169922,26.38480567932129
2012-09-11,24.231279373168945,37.70000076293945,12.65062141418457,11.978483200073242,10.48526382446289,,28.14262580871582,17.577678680419922,17.694063186645508,7.80219841003418,28.769947052001953,14.726839065551758,3.2146053314208984,13.871724128723145,15.565530776977539,14.071402549743652,,26.24327278137207,29.29963493347168,46.669071197509766,25.3386173248291,23.744504928588867,40.066810607910156,182.11781311035156,26.285001754760742
2012-09-12,24.362255096435547,37.86000061035156,12.69534683227539,11.939104080200195,10.52750015258789,,28.237295150756836,18.025989532470703,17.829416275024414,7.9320526123046875,28.794937133789062,15.083205223083496,3.222283124923706,13.871724128723145,15.60004711151123,14.127622604370117,,26.320871353149414,29.460784912109375,46.953208923339844,25.20341682434082,23.607860565185547,40.264183044433594,183.1199951171875,26.53037452697754
2012-09-13,24.857072830200195,38.400001525878906,12.810065269470215,12.075141906738281,10.665149688720703,,28.52130126953125,18.39025115966797,18.190370559692383,7.969929218292236,29.053152084350586,15.35289478302002,3.3647565841674805,13.97819995880127,15.738127708435059,14.392667770385742,,26.320871353149414,29.725059509277344,47.717247009277344,25.651702880859375,23.939716339111328,40.77907180786133,187.031982421875,26.867259979248047
