AAPL,ACLS,ADBE,AKAM,AMSC,AMZN,AVGO,BAC,BBY,CHDN,CLF,CLW,CMTL,COST,CROX,CRVL,CVCO,CVGW,CVX,EXR,FE,FICO,FIZZ,GHC,GOOGL,HD,HES,ILMN,IMMR,INSM,JNJ,JPM,LII,LLY,MA,MGEE,MKC,MRK,MSFT,MTCH,NEOG,NVDA,PFE,PG,PRDO,PRTS,REG,ROK,STRL,TFX,TPC,TXT,UNH,V,WDC,WU,XOM
117630000,50650,2165100,2409500,80000,54086000,18568000,79411500,3557400,309000,11775000,65600,70600,2279000,443000,103200,61300,134100,6644200,587100,3686200,97400,229800,26400,31774000,3472700,3872700,1040233,340400,314000,6823900,17627800,412100,3351100,3858200,66800,1531400,7404749,21414200,833900,309256,387524000,87735803,7081500,647500,28300,333100,576200,30100,360000,320900,1394100,3119200,5957200,6638814,4908000,9925000
108929200,75875,2079000,3062500,24200,52822000,16537000,100791600,4837400,439800,15488500,111600,80800,2268300,443900,129900,90000,92900,8783400,994500,3634200,146200,156600,22700,27388000,4251400,5369000,742319,342600,368500,8412300,17779200,364500,2849800,2673700,98000,1299800,6221976,24944300,854100,274598,292764000,45178972,7081600,772600,6500,439600,394900,136800,265400,328300,1261800,2887200,5962900,5546016,5503200,9986100
133029200,85625,2055000,1599900,29200,84566000,21730000,138647200,5148800,376800,17079200,89600,83300,2078800,652600,103200,59900,140400,6406800,823900,2968300,170200,147800,55900,35426000,4324800,4069600,1092867,429000,354500,5758300,37516800,245700,2341600,3698600,95400,2584200,8849836,20818000,530400,402566,350716000,38429156,11738600,1031800,106200,408400,962800,29000,263200,289200,1888400,2592400,9187300,6214528,5103300,9235700
101895600,62100,1764000,1274000,36900,70242000,27549000,179383300,3501500,193200,5994900,65500,54000,2420000,990800,62100,114600,148700,6162200,1127600,2719100,128100,203400,48000,26992000,4183300,3856400,684340,140200,300300,4457100,24249900,500600,3022100,3292200,65200,3258600,8757822,20877100,523300,276997,416564000,33682467,6904400,761200,61500,241500,1204700,21400,350500,152800,2201400,1674600,11470300,19425344,4948200,10625800
187756000,71525,2187400,1985900,26400,57754000,27685000,87958700,3869300,331200,6309400,128800,131000,2675900,749700,115200,75000,291800,6551600,708900,3247500,186100,108600,44700,31712000,3508900,4578200,899500,244000,185900,10057900,19290700,693300,3007500,4127600,93500,2221800,8839251,28793800,2162200,707023,436972000,37179112,7299300,357700,9700,464700,930900,21900,276100,258000,1981000,2835200,7186700,10729133,5244200,11280200
243286000,44450,2174900,2296200,43800,87218000,15297000,81998200,2530900,308400,6825200,66900,61600,1335800,409400,92400,42900,73100,7770200,945000,2505600,132200,111400,25000,33540000,3964300,9347800,1420593,247500,227000,7772500,13813100,1166000,4088400,3079700,68400,2460200,8168322,23786000,1057400,368441,307320000,38997262,5628000,541400,52200,270800,606600,131400,195800,179100,2346100,2717400,7761200,5895420,2487100,9097000
129539600,84625,2507100,1845400,35300,81118000,24560000,107153600,2664200,364800,9241800,74700,40800,1579000,435300,237900,88200,67900,10584800,1657200,4850200,160000,194600,33500,43952000,4649500,4789400,11695042,245400,284000,10526400,19255600,753500,3819600,3635900,65100,1341000,8011122,29596800,768400,242073,309152000,29954996,6606100,568700,45000,441700,935500,22000,188500,168800,3558300,4340100,8324700,7130838,3929400,10354500
122444000,76500,2712100,2125200,46200,52188000,19435000,115628700,3474300,162000,12465500,64400,52300,1308700,499600,125100,113000,84000,10150500,1309100,4538800,126800,232400,27400,34262000,4760200,5894400,2981611,111600,261200,8213400,14594400,535800,4049400,3627300,67700,1609800,8929903,36195700,1060500,288728,200172000,36981593,9124200,1560300,16500,370900,656700,60000,232900,177400,5676900,7321000,8521300,8599765,4058800,15247100
126210000,70150,2066900,1318800,47300,51926000,16117000,121589000,2898200,343800,12798100,75200,46200,2097600,438200,129900,121300,210100,8278600,1138300,6653200,154800,206000,24400,77628000,3542200,4905000,2279590,255200,335600,7884500,15395800,390000,3286600,2913600,105500,2827600,11040994,38909100,741700,490011,178280000,36025298,8802100,456500,49500,394600,532400,37800,232300,192700,3447100,3786000,9536900,5947150,3636400,12075300
134732400,74025,3797900,2987900,25900,101678000,25699000,83456600,2052900,326400,7857400,90900,78200,2233900,659900,188100,116900,125300,5754000,1121300,4620700,228200,549000,41400,140798000,4180900,5910000,2263862,214600,292300,7508700,12444700,266700,2697200,7176300,103900,2025400,7433988,126834100,891800,566258,223540000,27548714,8027700,445100,112400,337400,974300,126000,263800,294000,1901600,2782800,18216000,5873988,5994800,9150800
112126400,77400,2047000,1617700,31000,53658000,10870000,70489500,3209200,250800,7782800,142700,68100,1249000,344200,187200,37200,108700,6612100,581100,4145200,137800,272200,19900,49442000,2835400,3854400,1747600,183700,283100,6139900,10687200,323200,3767100,3276100,87500,1778600,8677650,33226900,454000,543331,191972000,25569513,7672800,673300,44300,301600,649300,83700,193700,223400,1880500,2702100,11184600,5181000,4236300,8076400
224064800,46025,1419300,3781200,189800,50428000,26309000,84812400,2034500,299400,7164500,77000,90700,1552900,324600,72900,65500,142400,5650700,927100,4329700,216100,171400,20900,55864000,3507200,4697600,1898510,210800,445000,5853600,12048000,525600,5347300,2929200,99700,1175800,7573477,33532600,432900,510539,214536000,30293330,13742300,1049100,28000,380500,803300,123200,251000,171700,1439100,2638000,6071800,5388447,2729600,9425900
458408400,75425,2082800,6939700,82300,81376000,38930000,115789000,4881800,373800,11172100,65400,91200,1492800,2448600,103800,36800,109000,8383600,642500,11943200,203200,163000,24200,66262000,3488100,8447400,1328484,130300,396400,5759300,15284100,309100,3690900,5211900,110200,1438000,7274587,43369300,756000,238874,352396000,27503603,7689700,663800,36000,367500,908600,102000,327600,137000,1432800,3358800,6319400,8220990,3478100,10463500
328970800,119400,3497700,2530300,56700,157452000,25520000,78639300,2501800,370800,47444500,136300,43900,2198100,890600,137400,53700,89200,7598000,602800,19368800,239900,130000,33400,62590000,5553600,7033500,1541794,132900,263200,6640000,12852500,444800,4383000,6261400,115100,1284200,9531246,43134800,349400,257269,381224000,34818995,7615900,474300,21800,289700,739400,87000,390400,152300,1243800,3332800,8322600,9574022,3411800,11276200
274126000,82225,3163800,2741400,90700,206214000,35067000,122128100,2898300,1287000,20737600,420900,43800,3588800,755200,129600,69100,65300,8826900,881300,8463000,159200,179600,18800,58278000,4610100,4629200,2209686,118700,231800,7774500,16376400,379400,3386600,5338500,66200,1586800,13862944,48411700,801200,378039,321904000,36061134,9391000,505600,29700,420700,894200,101400,431400,195100,1815100,4161100,8092700,25640269,3567000,17885900
192640400,262850,2330600,1982500,268400,131570000,19525000,68882800,3120500,891000,11120700,131300,60300,3361500,725600,101100,56900,137900,6844500,706000,6075200,231300,189600,22100,33476000,4284400,3295100,2015600,264100,237500,5178800,10247300,310900,3571900,3813100,70300,874200,10143487,33114500,1649300,301258,256076000,40122407,7862600,460800,72700,414700,1120800,187100,696500,179000,1338700,2887700,7636800,11102351,5390800,10273700
227325200,190400,1811400,1979100,139600,98468000,23986000,110549000,3453300,623400,13611500,130200,45600,2201300,703000,105000,65500,222600,7033600,1239900,8498700,160500,128000,14400,38620000,3408700,4137900,2479742,151800,310700,7554500,19120300,347800,3270700,3362100,76800,906000,7966058,26460200,1691500,296992,224024000,75396414,7617500,296000,68100,414700,694500,291600,179100,275000,1162300,3632300,7666300,11898401,6179000,10137400
164102000,383300,1710700,2677300,351700,92710000,20888000,99269700,2980600,409200,12834700,133300,81600,2111600,692400,184800,46900,93400,7444100,1421800,4849400,172400,136800,16900,34172000,3192100,3796400,3374924,146800,388100,5214600,17030200,387800,4176800,3187500,79200,1345400,8075888,24257600,5670400,256736,525764000,38021364,7365900,508300,32300,828000,768700,1538100,310600,329700,1563800,2909300,8854000,13391803,8935200,10601100
143562000,145450,1894800,2055100,340700,97682000,16841000,73145900,3478900,456000,17118800,70300,65400,4869300,478600,102300,41700,128400,6474300,711400,2972400,294000,205400,22000,29668000,3474900,3638200,2131764,275800,527800,5404300,14033900,434400,3446400,2848600,66100,924600,11764010,25390700,991700,371640,246884000,25047467,6399500,1583000,31600,648900,1091300,167500,400800,1635600,1834100,2054700,6002300,9641098,6805100,8721100
174799600,204950,1465000,1444700,126300,87306000,30027000,76595100,2720400,596400,14864900,91800,157700,3692200,1005100,102900,37500,162700,5966800,799300,4061600,132300,178800,23800,39952000,3356800,3585800,2285347,829900,222800,6099900,11057900,224700,4196900,2042700,75700,804600,11031562,24787300,866100,469216,183240000,24422234,6297200,808200,16400,686100,496900,167200,305000,628200,2063700,2618600,6172600,11076288,4357400,7968400
131745600,162300,1406900,1242600,99200,79644000,17300000,55399600,3305900,990600,24268400,58500,115500,2843800,2015100,165300,42500,83100,9342100,719400,3735400,155900,536200,5500,38074000,3552300,3164800,1165444,476900,269200,6512700,11197100,267900,2963200,1972600,82100,1509800,8358219,17951600,1123800,321786,333336000,33182766,6718800,650100,43300,480600,535500,170900,277600,264400,1497100,2191800,9242300,5947547,3333400,11159500
134747200,102125,1808400,1904300,71300,122112000,18461000,59870500,3571100,714600,12024100,77100,68300,1943900,10064500,218400,72300,80100,6698100,1081600,3728500,123400,380800,18600,32634000,3662800,4443400,814279,233200,230600,8356400,11897200,457900,4366000,1903500,81000,1181800,6797538,22891000,1225400,340981,269676000,26125498,6222400,502800,110700,500200,994900,172100,195200,287200,1868300,2223500,6802600,14236538,3445600,12509100
114876400,49725,1569100,1326900,70100,146764000,16716000,68088900,4009000,653400,11356800,85000,69500,2812700,3014600,151500,524700,110000,6850700,901800,3427800,92900,276800,15100,29834000,6058400,4455500,1140052,200500,176100,6680700,11254000,344500,3716300,2540600,70000,927800,6888399,24039100,829400,265800,328176000,32037384,5975000,348000,88000,430700,877000,101600,242100,458300,2173900,3450800,8432500,10132196,3168800,11660200
305258800,107025,1198100,1652600,141800,100964000,26452000,72567100,4088400,784800,11332700,190800,75300,2860400,1346600,120600,1181300,110600,6532400,1006100,4641100,97600,217200,28500,27094000,5355600,3713000,1227946,430900,302200,7156300,11071700,515400,4081900,4216800,61100,1042200,8640026,24102800,1327400,250604,670540000,26746515,4925000,339700,100400,369400,1120000,130300,187700,389600,2682900,3210400,7512800,10011141,4291100,10720500
177571200,47475,2221100,1505200,73200,95268000,21716000,86193900,4517300,580800,10675700,112600,32900,2993600,1040700,140400,121500,72200,5665200,468300,4770000,237900,148400,24000,25244000,5295800,3216800,942676,281500,362100,6779900,15122300,253900,3629700,3371600,51100,1305000,7467210,22592300,1181400,201283,2110256000,21622494,6579000,320400,134500,367200,1177900,135100,253100,906300,1188200,3137300,7562700,11661716,4162800,9721100
245039200,81850,1918500,1280700,132700,108658000,20373000,57848600,3891900,568800,8732300,107400,56500,2615000,639700,101700,140800,99200,6779400,579000,3553400,127500,189200,28700,22538000,8394800,3339000,801840,200700,351500,6222900,10951300,288600,4580100,2273600,109900,856800,6968257,20032000,810400,357777,973032000,23239224,6497200,379900,97100,595300,613500,48700,208200,402900,973800,2466000,8597900,8760377,3711300,8638700
