AAPL,MSFT,JPM,NVDA,XOM,JNJ,UNH,PG,V,MA,HD,COST,AVGO,LLY,BAC,MRK,ADBE,TFX,HES,NTNX,WU,FIVE,GNRC,WING,CHDN,FND,HWM,CROX,ENPH,FICO,ROK,LII,INSM,NEOG,ACLS,PRDO,ORGO,IMMR,CVCO,GPRO,STRL,TPC,GHC,FIZZ,EVTC,CMTL,MGEE
4.2865625390639455,5.032548486349072,4.79358631262919,1.787108967365485,4.009838658192153,4.8367195325529675,5.6007101918601325,4.686011431040844,5.215899582107082,5.683998725355659,5.265267734179942,5.589465296393684,3.3286894994684477,4.817878065912146,3.442836486104809,4.31364437106785,5.81242756820464,5.908630694749726,4.137563035918229,3.4619788275972523,2.939456841460638,4.849292155641107,4.62507086863581,4.34386744591686,4.201988959230327,3.922962930373712,3.4390571684669666,3.7316994512968646,3.3789517779155136,5.947826125144835,5.232756838964747,5.435875038040454,3.1637858521010482,3.4793921869139495,3.199489129737002,2.8843711794674394,1.5644405903963239,1.9619434575793142,5.281171238758414,1.4816045625986316,2.649714597130255,2.507157296030372,6.400965384970039,2.998887671363191,3.501118248237362,3.503802219464569,4.240317846412389
4.27679305560716,5.0200184213315975,4.780302084711341,1.770973458903409,4.001766851875192,4.825074242871997,5.59053913726946,4.679263269812512,5.207914847960666,5.6741943690068,5.261938905532635,5.590288362255432,3.3029255272335205,4.814544199948411,3.4218544103003143,4.305023978139374,5.804562508582074,5.898353226725919,4.168388572572823,3.47970046666133,2.936014572066056,4.849448795490169,4.621732256277286,4.386377830288933,4.195709603540463,3.91641337803655,3.437470655306664,3.7395726119431103,3.3772461920969765,5.945211197749019,5.218060580582146,5.4319809869108,3.1675825304806504,3.4914949917602693,3.2104403829784154,2.8832963780680885,1.5216989814680268,1.9463588202727908,5.294861389325355,1.463255441992448,2.656054889910667,2.4981518639896745,6.401231606800647,2.990000508147923,3.495232292979798,3.493450905643959,4.235543225889641
4.284729265575391,5.022599970746014,4.779506428210505,1.7751581940650902,4.0094157818566245,4.823826144038495,5.597457138239729,4.68064882544731,5.205749950551333,5.676853606490104,5.2666328515315275,5.590562263283396,3.3014284556562363,4.818255756612128,3.4204207302716485,4.309289004136665,5.810272326738755,5.909950643365973,4.18288762749961,3.500740993581049,2.926389853404858,4.818667384901205,4.617592705986649,4.399299932242634,4.191774275086312,3.9339801847221088,3.428539092511801,3.7473841798885767,3.389799331565218,5.950642552587727,5.225974545146467,5.430583835577296,3.174296775088473,3.48752802740017,3.185939346699555,2.8907949937519044,1.4996230506843684,1.9384744304023802,5.2934555609978675,1.4973883616884853,2.663749968788886,2.4890646757652832,6.39980718433239,2.9931096663816645,3.4949368696430723,3.4976600915914933,4.234637104293471
4.280015424107816,5.013440498893995,4.762359826953,1.7871924799795311,4.001197707956766,4.829914262418989,5.591402411530493,4.674438054246553,5.2031037473281705,5.673461582985306,5.2600645259194465,5.588984823577297,3.2979798409066423,4.820144534752052,3.4137992862302213,4.28230210482301,5.809313019803507,5.908419238398656,4.184016126699312,3.4934727041506233,2.9310214149760303,4.800819208011834,4.633757657668759,4.40342247948329,4.190061560306313,3.9025785219544136,3.434926962595363,3.7283405376632364,3.400863985128979,5.962267404313291,5.223916077455326,5.4172940796788795,3.2076126048125677,3.474602721352152,3.1937630896300977,2.8971780163865546,1.4996230506843684,1.9397928655567442,5.278930671416838,1.4816045625986316,2.6616571402213416,2.485739655149497,6.392401494562722,2.9529943807827674,3.4890146594971543,3.4954174668707623,4.225010831348202
4.2959736397866255,5.029243232724558,4.770130305261469,1.7890663254517518,3.9860028718424982,4.829776595026664,5.612267229339027,4.6786918798777,5.2200765089934045,5.690952515403335,5.274917820936933,5.60038367019438,3.2854270277213677,4.829159265972635,3.423858264631291,4.2755533038863565,5.822661191663187,5.911190235060885,4.149307374409361,3.5010427626614002,2.9398387311007883,4.811371028987603,4.605470128793719,4.4113955358476815,4.20066256611907,3.918998588859131,3.412714513863363,3.7537304335838755,3.4339872044851463,5.969551159483019,5.231491889872118,5.43313040059294,3.2669037764268696,3.4810861984761705,3.2092294570604114,2.8870527677062223,1.5851452433160633,1.95418146495457,5.2834067197386565,1.4861397133506802,2.663749968788886,2.4849066497880004,6.393253268536323,2.962855265203361,3.504925286343952,3.5112889671914833,4.225271785817145
4.316992079887427,5.041658755811748,4.773774921830295,1.7999887065692723,3.9936291500025636,4.832738321583676,5.60657357162363,4.689570334267334,5.226982691807087,5.703977869790589,5.290131410734003,5.616306789785814,3.2773620031806,4.845552836276211,3.4255725486539843,4.284318189865437,5.830268307784552,5.91105853161469,4.1575916901015475,3.5307626306984643,2.957243698938082,4.824145087397735,4.599152129013422,4.418430098891731,4.212246270307119,3.9178062683888313,3.381301606564719,3.770459476264859,3.452840619644253,5.995232463999147,5.240169433467125,5.4475478636098345,3.2507619930386347,3.486457169566002,3.2047768850132536,2.873571794805553,1.5769147522549636,1.947666840011328,5.287913395828557,1.4861397133506802,2.648300204795581,2.4882344367123217,6.378880476302703,2.952779070788053,3.5151044166982643,3.510736053932425,4.228142693764077
4.319250069494431,5.03702116553086,4.7637569217265545,1.8053239878631833,3.9847018650201687,4.830465777911056,5.609661701566379,4.690538909272874,5.2296699924465795,5.710652337019018,5.285814682241742,5.608999499605025,3.2541065581997746,4.860739803197553,3.4172596180883184,4.285994968922628,5.8283866306961105,5.909185606798144,4.149161130828922,3.552486872929839,2.9421262064135045,4.79768959544911,4.5923888856245085,4.4141497707819335,4.201841770576171,3.862622658339321,3.3499106458554135,3.7586386842981625,3.4232849806137358,6.001439654301801,5.2300787304253715,5.448356188911318,3.2343553716775335,3.4933206844538653,3.1875915159360004,2.8582541554393073,1.5644405903963239,1.9606540583510534,5.310394111591997,1.4516138227736746,2.6354794945946245,2.4965058139116447,6.3647683003659985,2.9508379949022094,3.5205868375611975,3.520089511609101,4.22866390383949
4.3403893534579305,5.048973934205356,4.7720271428807575,1.8361948464341842,3.994202476072788,4.834868137946085,5.577712596143204,4.6978524735456055,5.2376883482833385,5.723551891095299,5.281882157307419,5.617808489964347,3.260635587554223,4.867528229545307,3.426428806864352,4.28577123175187,5.845368852845354,5.90781139437278,4.1606266672232355,3.555633687024077,2.9512239391565056,4.677118676780972,4.614229066767284,4.441705931738337,4.2302335651150065,3.8514234124809206,3.370494528230196,3.7431308581060776,3.4271899916709763,6.013519570725882,5.237317579952339,5.440894371023251,3.214064234139732,3.5250361724916752,3.1958118977614944,2.8703093541241813,1.6094379124341003,1.95027789354948,5.323692669903972,1.4492692140094081,2.649007684748678,2.5079719009739794,6.377615714645499,2.9497579558471574,3.502877311771717,3.5323360857249892,4.239029369371461
4.326794043970867,5.041905762995588,4.783621755895437,1.8173664311792925,3.98556929643104,4.840480509901206,5.586039111064434,4.69632997460554,5.241367653211482,5.708947437622656,5.279506521748063,5.617408323572285,3.2836115702462836,4.879760804045964,3.4338172514334984,4.2904526478288165,5.842471391930745,5.920841717458783,4.171533682114268,3.554204524599481,2.957618758205063,4.73847657199254,4.626344415243861,4.422801783614478,4.2331645495833685,3.8586222608925684,3.374899205140121,3.7588718615022434,3.4078419496437196,5.998365652144353,5.219343036066232,5.428113124062517,3.2136622915601216,3.539073528877335,3.2023398624333836,2.8800654534966865,1.6253112465718973,1.9331833759964627,5.334311735603008,1.4231083572227108,2.6741486494265287,2.4965058139116447,6.369010037138881,2.967324781071637,3.4943462244039023,3.4995283958706533,4.236060483609649
4.3224992388346,5.048361094099344,4.768522588393821,1.8104267637196383,3.9839783829577433,4.843819125760621,5.613989467069375,4.706463642618491,5.2603147466670475,5.720501667964714,5.287463386560148,5.620971580567065,3.2671221196505593,4.883026039833801,3.415242546611212,4.308197243332438,5.837555511869753,5.913664488323479,4.171818972199372,3.546739708939541,2.972505665969245,4.728272369630661,4.627811925419227,4.419415680374235,4.237438420703829,3.8743211699342464,3.36162680466066,3.7565380847620626,3.406516538080475,6.001093031909878,5.216035361271551,5.434483120742045,3.1730412533806236,3.548754959185248,3.188416617383492,2.8913284712222223,1.6486585889075995,1.95418146495457,5.342334251964811,1.4445632152622998,2.6762154592044345,2.4782176680377024,6.366891522619368,2.967324781071637,3.4937555778431464,3.4984066322965885,4.249161175400445
