AAPL,MSFT,JPM,NVDA,XOM,JNJ,UNH,PG,V,MA,HD,COST,AVGO,LLY,BAC,MRK,ADBE,GOOGL,AMZN,CVX,PFE,TFX,HES,WU,CHDN,CROX,FICO,ROK,LII,WDC,MTCH,MKC,CLF,FE,REG,AKAM,ILMN,TXT,EXR,MKC,CLF,FE,AKAM,TXT,INSM,NEOG,ACLS,PRDO,IMMR,CVCO,STRL,TPC,GHC,FIZZ,CMTL,MGEE,CRVL,CVGW,CLW,AMSC,BBY,PRTS,FIZZ,PRTS
1.8612694693337881,3.1446454697377066,3.3613883250993615,-0.858296420122927,3.652441730085905,3.712928571488725,3.222706445582438,3.6622847661235096,2.9815933675623114,3.1646797941684492,2.9923888303643604,3.744315214825135,0.29007195346734765,3.1601525563360178,2.5155129912424394,3.054191304669511,3.6133473956154893,2.7478991882245736,1.9013610047833711,3.751937671673206,2.2704696242709193,3.8517719920187954,3.9336918204067732,2.3296525562860824,1.7557209180506272,1.7833911875012582,3.062012206773216,3.546127301035196,3.4909364854189766,3.4365318128306983,1.7062499546009937,2.599601870588567,3.6941007086677926,3.135834744066121,2.96034359475582,3.255014874427513,3.39174953506712,2.915350628226528,1.9558449916859921,2.5996020831715745,3.6941009932801268,3.1358344124661985,3.255014874427513,2.9153507315762632,2.0412203040888763,1.8064875038998964,1.7578579504376943,3.1090173443398177,1.4498283898366533,3.6230067303354434,2.9678471092901333,2.8806374268405985,5.365736551709475,1.260585325092163,3.1563169510081934,2.791281601413505,1.7014092594031724,2.505660532250189,3.3017452970723844,6.04381977744191,3.208256127888625,1.6601310702632746,1.260585325092163,1.6601310702632746
1.8629969836027027,3.1449683565755775,3.3805730744111817,-0.843799224709832,3.656338658686608,3.7012654277029764,3.221119019305514,3.662611922542299,2.970067952779159,3.1617162621305335,2.999686960246789,3.741280785562822,0.29746767082609993,3.142408280716816,2.547500557400207,3.0582358197167556,3.629660114691086,2.743485827947777,1.9072435578607936,3.758995809246958,2.2561038866094356,3.841082524993391,3.939847320680974,2.325452802250595,1.7299840542775464,1.848454797886107,3.053197379106719,3.5381345630250722,3.4763342294814787,3.4627001052156703,1.7279532712934786,2.596843560760027,3.7093338082325404,3.124654346646775,2.9675082400929007,3.2842889834260847,3.3851813384062757,2.896262386416907,1.949094297423289,2.5968432765330403,3.709333901669103,3.124654095150677,3.2842889834260847,2.896262175733976,2.0412203040888763,1.7785864478518494,1.7439687687119245,3.108588080058975,1.4583937014114159,3.590990965915811,2.973997765813923,2.901366300403606,5.368627881524292,1.2358925823933105,3.1546278702360517,2.7611928947545836,1.6879408798771147,2.496953877587064,3.323055674025959,6.052559675176709,3.2333192025511286,1.631199430343676,1.2358925823933105,1.631199430343676
1.8469628747749944,3.138812466753581,3.3860519606577952,-0.8374231689184066,3.664944544277741,3.7093664170627623,3.2309184230480024,3.6578575974956986,2.956548997138911,3.160269381147799,2.9962186245349756,3.754196972682322,0.30533163059202834,3.1497701682213677,2.5591604099518874,3.0716017510545455,3.627535795480666,2.7179538606261446,1.888961826029009,3.7591213418047738,2.252883067587819,3.8510507088915293,3.942518969134309,2.3249267655186405,1.7141640716569841,1.8373700138890796,3.0564538288615615,3.556963207157599,3.4722681709069065,3.463560770798349,1.7198095692053377,2.600703648143882,3.743276190854422,3.135407054591011,2.9689348339194304,3.2760119902984917,3.444972226580828,2.9304670683608713,1.9524753071910317,2.6007032942289188,3.743276010217752,3.135407054591011,3.2760119902984917,2.9304671701600755,2.0412203040888763,1.767545992979848,1.7984040056309996,3.1264532717806817,1.479491351612251,3.5553480614894135,2.982140296833121,2.9247620824109264,5.370003202986039,1.212227784451512,3.15039235817593,2.760622349394305,1.6639261374545993,2.5136778699315148,3.3282681797551534,6.060757402078462,3.2255237528091767,1.6370530534915084,1.212227784451512,1.6370530534915084
1.8451122587732252,3.1283582194590545,3.4056674201841934,-0.8572153192230223,3.6617973092145104,3.7022034374579293,3.268577395218647,3.6524195747867525,2.9658120712145775,3.1537134926645,3.0079627215838443,3.7493520150245687,0.29904547094854195,3.144678995664344,2.5915762752285896,3.073193797801122,3.6079404950634077,2.694399123505441,1.8718021769015913,3.755346886962794,2.249112538632827,3.8602060368635294,3.9614843310370924,2.356527425323958,1.7095587134552912,1.890095352661769,3.057382746963115,3.567887693236824,3.4803839396282954,3.4437967873501205,1.7246080301488325,2.608378564730101,3.728154506886938,3.1203206625929707,2.9766040327607435,3.2763897137816596,3.461898294513668,2.973996108943503,1.9448514872165157,2.608378705213703,3.728154415192463,3.120320578396855,3.2763897137816596,2.973996303869577,2.0412203040888763,1.7785864478518494,1.8050046834297293,3.14400497446963,1.4878076830671898,3.59429399485156,2.9917242559864694,2.98169221603571,5.392476162995157,1.202269236157411,3.1652779682215946,2.7603370451060574,1.6817585740137264,2.5099857126726213,3.3686742214830185,6.067730930838085,3.24129490051979,1.6601310702632746,1.202269236157411,1.6601310702632746
1.85173852569225,3.135231050120939,3.403208120205722,-0.8550564772946881,3.6577781095397546,3.705635298405663,3.2591418787492796,3.6510968848026764,2.968574481004819,3.1540678175526993,3.003143876151162,3.7421245111673236,0.30637562438460936,3.1369945050192656,2.5826770115741793,3.072663397126075,3.6025042009376174,2.7076421995866395,1.8985190235131317,3.7571103929478573,2.2571747926148,3.866086352028612,3.9750962296807053,2.3661693952862146,1.7130822785386437,1.8764069754182549,3.0555244962305483,3.581731640013828,3.49691715293939,3.4488289629365543,1.7308117529487037,2.6111059838402046,3.7910879871496164,3.1150952947776775,2.9749048312293898,3.2763897137816596,3.473427550979784,2.983362746640945,1.9224947071297736,2.6111056335877025,3.7910879871496164,3.1150951255032253,3.2763897137816596,2.983362746640945,2.0412203040888763,1.781959090033644,1.8748743730131803,3.159216008473391,1.5021965728405573,3.627801632990018,2.9806186744718333,3.005674144052682,5.392476162995157,1.201434910999182,3.1962946690984064,2.7666031078942916,1.6783419611084214,2.539747729227479,3.340562364741643,6.073505285558036,3.201265228435583,1.6956155736779295,1.201434910999182,1.6956155736779295
1.842877927909608,3.1224293185370193,3.3998456205646077,-0.8691718472426929,3.668935392637337,3.705791340781237,3.2658471595140397,3.647117788116536,2.965697292321543,3.1374727486482636,2.974440344286012,3.7433043697753985,0.3126157553167233,3.1506155428124734,2.5915762752285896,3.0766340340860587,3.5893352984937232,2.7061294377355587,1.87418396414147,3.7746969290651027,2.2651727641745008,3.9413480838560186,3.9645592251839537,2.3747191718577434,1.719017240450506,1.8702624954491511,3.0559896296657225,3.572388027247134,3.499151002011654,3.449919666136785,1.7388667893177157,2.619242778594253,3.786559738095621,3.1324080123897873,2.9898158535222916,3.2729851273870945,3.493437223359815,3.035465418656879,1.9302901514392858,2.6192425701457878,3.786559565110754,3.132407762836166,3.2729851273870945,3.0354653270043985,2.1282316604362044,1.7886705205954325,1.8809905942333667,3.158399760169992,1.5143668760145284,3.6098362220027216,2.9760396713327606,3.003776594225308,5.394698209338458,1.1972525956549191,3.2131785501260524,2.766318785336743,1.66581823865906,2.5790606839318193,3.3134584506960816,6.066340095911093,3.184080340112482,1.7833911875012582,1.1972525956549191,1.7833911875012582
1.8314376213333705,3.115800412707276,3.3762133202911353,-0.9036579958807889,3.6639443141951995,3.711071805608252,3.239063961461892,3.6585146067760235,2.960959539202014,3.136911863333858,2.9680276291751437,3.7378982923191546,0.29746767082609993,3.147227780963686,2.557328632282401,3.06867693133681,3.5740296081560294,2.688287306903379,1.8512069009124834,3.768869136089643,2.261981267409525,3.932909242208726,3.923666986525716,2.3686917742225484,1.722775265921875,1.8213182436926771,3.0569185303342272,3.5563410244977516,3.4836620104482408,3.423858078170026,1.7289069784703253,2.628384616395578,3.7353458588105566,3.133908533182046,2.9712134720752443,3.2642315207561277,3.640295939352153,3.0289232666751222,1.89427370249936,2.628384616395578,3.735346040885398,3.1339083670624253,3.2642315207561277,3.028923174421072,2.104134131009858,1.7869969409280868,1.8870696345827689,3.145660527610428,1.506269714384413,3.617114875589066,2.9770589655357758,2.9665292391657982,5.382004010136046,1.1871430319469458,3.2139753023522712,2.769437830237967,1.6528166637405253,2.5790606839318193,3.3167282139665804,6.064714994666544,3.1848443282686993,1.7850704874777572,1.1871430319469458,1.7850704874777572
1.845444545443026,3.1250687262968744,3.3935377734118024,-0.8901671870320322,3.6599329664676254,3.7174019366643187,3.254236915248652,3.6688079365287676,2.9701825246422837,3.162575251129622,2.97337400377558,3.7441469319127396,0.26646595723785227,3.1609899305432774,2.573096186516435,3.104768638365576,3.591266591600212,2.682529704559152,1.8649325001330637,3.761253697447533,2.285152589076544,3.9299137649089255,3.9302025463081356,2.382699250329162,1.7176712183756666,1.8405496636728618,3.073949979663285,3.56109953028625,3.486929487329996,3.4409411583957206,1.7649512542011598,2.6374441151307026,3.761086644190735,3.1396756576655505,2.999818989059657,3.259633852498868,3.6739337263416783,3.0095141619803907,1.9120046135499216,2.6374445927376082,3.761086555466774,3.1396759879941594,3.259633852498868,3.009514444166663,2.1282316604362044,1.7986539981037155,1.8870696345827689,3.139853936669194,1.4939995356407898,3.6645867849958993,2.9882040263508176,2.9665292391657982,5.388724967718026,1.189679875454771,3.2274268829167485,2.7756477174809095,1.6648725904503197,2.597305180871503,3.319263976817285,6.058422043773969,3.196744681491484,1.7766458055994125,1.189679875454771,1.7766458055994125
1.8396363685249946,3.1449683565755775,3.4034323294076767,-0.9059243267817677,3.6600768708792213,3.7194012998269548,3.2779246423377537,3.6697825141937233,2.973619635800249,3.1793384783399095,2.9793993583641876,3.7326330907724685,0.26700864041404226,3.1651651887768932,2.5850581234465415,3.131632598382815,3.580737337997823,2.6872198050794727,1.8512069009124834,3.758116194889862,2.2939631498060256,3.9267421783927228,3.9313138835815598,2.3702022780576115,1.7171326614870497,1.9572738969296473,3.078049385605742,3.564190988420189,3.480888958172622,3.4477370688037805,1.7603428815484927,2.636382582024443,3.7649589470535187,3.137970617408777,2.9951078988325683,3.2913824844334676,3.6367154274518594,3.095130377680363,1.9084838607249826,2.6363828552325685,3.7649587702913925,3.1379703692394707,3.2913824844334676,3.0951301186484046,2.1860512338763263,1.801959744821172,1.8870696345827689,3.1481387704759234,1.5042351644477592,3.6888794541139363,2.99773032190166,2.9605974856850485,5.3950718569483636,1.1955747017995029,3.2213829790116337,2.773957261680704,1.6727256827032253,2.611330750594863,3.3141860046725258,6.032126543477653,3.187134056973153,1.7817091430076275,1.1955747017995029,1.7817091430076275
1.8227833284966417,3.141733221230091,3.3805730744111817,-0.9358633295817298,3.6518628607012453,3.711071805608252,3.290747280373663,3.6573644340766176,2.958640761768395,3.187634495300166,2.9888946611782714,3.733824468057876,0.25664603782914036,3.1601525563360178,2.551197590620329,3.118544062942029,3.5799012617667936,2.670379606288347,1.8495565481516902,3.754085830847268,2.299623176055619,3.9100512293807808,3.922066395456744,2.3524393546524887,1.725718609614359,1.974080999531056,3.080772490830075,3.5452891824390207,3.4717584232908267,3.4078432127876797,1.7454519490100948,2.6345223543475065,3.7255446889425095,3.1341226384334506,3.006981439245072,3.2812871079265222,3.636459185368212,3.0543815354172823,1.9128834667907788,2.6345224227767203,3.7255447808765947,3.134122887559485,3.2812871079265222,3.054381715287389,2.1400661634962708,1.7790087211351133,1.8500283983448613,3.125187795158409,1.5042351644477592,3.676300671907076,2.9972311839585806,2.9349872073391876,5.37653639554065,1.1803458977160646,3.1919610643487775,2.763189921380582,1.6370530534915084,2.6023772553226463,3.3181780480482406,6.001909835169993,3.176403566518263,1.786746892260733,1.1803458977160646,1.786746892260733
